ERYTHROMYCIN CAPSULES 250MG K,medicine_showdetail.php?sn=A000106100
GENDERGIN TABLET 0.25MG ALPRAZOLAM,medicine_showdetail.php?sn=A042948100
LOFTYL FILM TABLETS BUFLOMEDIL HCL,medicine_showdetail.php?sn=A042951100
EUTAC F.C TABLETS 150MG MOCLOBEMIDE'S.T.',medicine_showdetail.php?sn=A042957100
WEPRIDE TABLETS 10M,medicine_showdetail.php?sn=A042964100
SINCER TABLETS 400MG ACEBUTOLOL,medicine_showdetail.php?sn=A042967100
FLUX MICROENCAPSULATED CAPSULES 20MG FLUOXETINE'STANDARD',medicine_showdetail.php?sn=A042977100
PRISIC TABLETS 5MG,medicine_showdetail.php?sn=A042991100
WINCETOL F.C. TABLETS 400MG ACEBUTOLOLWINSTON,medicine_showdetail.php?sn=A042999100
SELINE TABLET 5MG SELEGILINE HCL 'WINSTON',medicine_showdetail.php?sn=A043016100
ZUMIN FILM COATED TABLETS 50MG MEBHYDROLIN 'YUNG SHIN',medicine_showdetail.php?sn=A043018100
MEGAST TABLETS,medicine_showdetail.php?sn=A043019100
TIA TON TABLETS 200MG TIAPROFENIC ACID'Y.Y.',medicine_showdetail.php?sn=A043026100
PEYSAN F.C. TAB. 75MG DIPYRIDAMOLE S.C.,medicine_showdetail.php?sn=A043040100
CANLIN M.CAPSULES 3,medicine_showdetail.php?sn=A043046100
GLUSAMIN CAPSULES 2,medicine_showdetail.php?sn=A043053100
TONSARIC TABLETS 100MG ALLOPURINOL 'S.T.',medicine_showdetail.php?sn=A043074100
DALPAM CAPSULE 30MG FLURAZEPAM,medicine_showdetail.php?sn=A043079100
TOPIMO TABLETS 2MG PIMOZIDE 'S.C.',medicine_showdetail.php?sn=A043118100
SUNCUE TABLETS 10MG NITRENDIPINE Y.C,medicine_showdetail.php?sn=A043140100
BEENRONE TABLETS 100MG BENZBROMARONE,medicine_showdetail.php?sn=A043141100
LIFEN F.C.T. 500MG IBUPROFEN LYSINE 'EVEREST',medicine_showdetail.php?sn=A043144100
NAPROZEN S.R. TABLETS 750MG 'N.W.',medicine_showdetail.php?sn=A043154100
NIPRESS TABLETS 10MG S.C.,medicine_showdetail.php?sn=A043157100
SERENAL CAPSULES 10MG OXAZOLAM,medicine_showdetail.php?sn=A043162100
TERADRIN TABLETS 2MG TERAZOSIN S.Y.,medicine_showdetail.php?sn=A043188100
GENOPRIL 20MG TABLET,medicine_showdetail.php?sn=A043210100
SERENAL TABLETS 10MG OXAZOLAM,medicine_showdetail.php?sn=A043211100
ALLTEC F.C. TABLETS 10MG,medicine_showdetail.php?sn=A043213100
MEI-CAL TABLETS 950MG 'AND',medicine_showdetail.php?sn=A043219100
BECANDIN TABLETS R,medicine_showdetail.php?sn=A043222100
PAINSTOP ENTERIC-MICROENCAPSULATED CAPSULE 50MG DICLOFENAC SODIUM 'SWISS',medicine_showdetail.php?sn=A043223100
GLUSTRONG CAPSULES,medicine_showdetail.php?sn=A043262100
GIMOVE TABLET 5MG,medicine_showdetail.php?sn=A043288100
NO-TON F.C. TABLETS 500MG 'STANDARD',medicine_showdetail.php?sn=A043305100
CETIA TABLETS 10MG,medicine_showdetail.php?sn=A043306100
ASPA E.M.C. 100GM ASPIRIN 'YU SHENG',medicine_showdetail.php?sn=A043309100
CONMY TABLETS 2MG S.T.,medicine_showdetail.php?sn=A043317100
WEREN ENTERIC-MICROENCAPSULATED CAPSULE 50MG,medicine_showdetail.php?sn=A043328100
GENOPRIL 10MG TABLET,medicine_showdetail.php?sn=A043330100
COXINE TABLETS 20MG ISOSORBIDE MONONITRATE S.Y.,medicine_showdetail.php?sn=A043364100
SINKOMIN TABLETS 5MG 'SINTON',medicine_showdetail.php?sn=A043395100
CEMINE F.C. TABLETS 10MG 'S.C.',medicine_showdetail.php?sn=A043403100
EASCO CAPSULES WIN,medicine_showdetail.php?sn=A043408100
MESYREL TABLETS 25MG 'M.S.',medicine_showdetail.php?sn=A043431100
NOXALONE TABLETS 500MG,medicine_showdetail.php?sn=A043443100
OMELON ENTERIC-MICR,medicine_showdetail.php?sn=A043445100
GENCLONE 7.5MG F.C.T.,medicine_showdetail.php?sn=A043460100
DOXAZON TAB. 2MG S.C.,medicine_showdetail.php?sn=A043467100
BRONCOLIN TABLETS,medicine_showdetail.php?sn=A043473100
SENNAPUR TABLETS,medicine_showdetail.php?sn=A043488100
ESOMIN TABLETS 2MG 'P.L.',medicine_showdetail.php?sn=A043499100
WINIFUL F.C.TABLETS,medicine_showdetail.php?sn=A043501100
CETIN F.C. TABLETS 10MG 'N.K',medicine_showdetail.php?sn=A043502100
FLURONIN CAPSULES 20MG 'YUNG SHIN',medicine_showdetail.php?sn=A043523100
AVERINE CAPSULES 60MG 'ROYAL',medicine_showdetail.php?sn=A043527100
KETONIL CAPSULES G,medicine_showdetail.php?sn=A043539100
ACEO CAPSULES 60MG,medicine_showdetail.php?sn=A043545100
LISIM TABLETS 250MG,medicine_showdetail.php?sn=A043575100
CAMADOL CAPSULES 50MG TRAMADOL HCL,medicine_showdetail.php?sn=A043597100
MEPTIN TABLETS,medicine_showdetail.php?sn=A043622100
ABCOT CHEWABLE TABL,medicine_showdetail.php?sn=A043624100
SON TABLETS 2MG EVEREST,medicine_showdetail.php?sn=A043625100
ZAPIN TABLETS 25MG 'PANBIOTIC',medicine_showdetail.php?sn=A043629100
MELETIN CAPSULES 100MG S.T. MEXILETINE,medicine_showdetail.php?sn=A043632100
LESIN F.C. TABLETS 150MG 'S.T.',medicine_showdetail.php?sn=A043633100
VERINE CAPSULES 60MG 'N.W.',medicine_showdetail.php?sn=A043639100
ROTEN TABLETS 200MG TIAPROFENIC ACID 'ROYAL',medicine_showdetail.php?sn=A043641100
KINZOSIN TABLETS 2MG TERAZOSIN KINGDOM,medicine_showdetail.php?sn=A043656100
EUNAC SR F.C. TABLETS 100MG DICLOFENAC 'S.Y.',medicine_showdetail.php?sn=A043657100
TIZINE TABLETS 10MG 'L.O.',medicine_showdetail.php?sn=A043659100
COTYL ENTERIC-MICROENCAPSULATED CAPSULES 100MG 'STANDARD',medicine_showdetail.php?sn=A043663100
PIN E.M. CAPSULES 100MG ASPIRIN'EVEREST',medicine_showdetail.php?sn=A043664100
P TABLETS 200MG 'ROOT',medicine_showdetail.php?sn=A043682100
LLATE TABLETS 'YUNG SHIN',medicine_showdetail.php?sn=A043690100
RIN F.C. TABLETS 10MG CETIRIZINE'EVEREST',medicine_showdetail.php?sn=A043695100
VITAL CAP. 250MG Y,medicine_showdetail.php?sn=A043697100
UFUR CAPSULE,medicine_showdetail.php?sn=A043698100
MEPTIN-MINI TABLETS,medicine_showdetail.php?sn=A043700100
ENI F.C.T. 'EVEREST',medicine_showdetail.php?sn=A043703100
INOL F.C. TABLETS 50MG ATENOLOL S.Y.,medicine_showdetail.php?sn=A043704100
DITON F.C. TAB 500MG 'STANDARD',medicine_showdetail.php?sn=A043706100
NLOFT F.C.TABLETS 50MG SERTRALINE 'KINGDOM',medicine_showdetail.php?sn=A043744100
NXABEN TAB. 2MG DOXAZOSIN KINGDOM,medicine_showdetail.php?sn=A043765100
TILIN F.C. TAB 25MG 'S.C.',medicine_showdetail.php?sn=A043800100
LYDICON CAP. ROYAL,medicine_showdetail.php?sn=A043802100
SOLIGEN CAPSULES 25,medicine_showdetail.php?sn=A043809100
MITEC F.C. TABLETS 10MG 'S.D.',medicine_showdetail.php?sn=A043818100
AMED CAPSULES 50MG 'SWISS',medicine_showdetail.php?sn=A043824100
DICLOFENAC S.R. F.C. TABLETS,medicine_showdetail.php?sn=A043837100
CIMETIN F.C TABLETS,medicine_showdetail.php?sn=A043850100
KELAN TABLETS 5MG T.O.P.,medicine_showdetail.php?sn=A043852100
USPEN TABLETS 100MG 'YU SHENG',medicine_showdetail.php?sn=A043859100
ELAM TABLETS 2MG 'EVEREST',medicine_showdetail.php?sn=A043860100
SYNFLEX TABLETS 200MG MEPHENOXALONE 'S.Y.',medicine_showdetail.php?sn=A043861100
ALVERINE CAPSULES 60MG 'EVEREST',medicine_showdetail.php?sn=A043867100
BIORIX F.C. TABLETS 150MG 'CBC',medicine_showdetail.php?sn=A043892100
MEITAN F.C. TABLETS 50MG 'EVEREST',medicine_showdetail.php?sn=A043896100
BUSLAC TABLETS 10MG 'F.Y.',medicine_showdetail.php?sn=A043922100
GOULESS TABLETS 50MG BENZBROMARONE 'STANDARD',medicine_showdetail.php?sn=A043927100
PHELOP E.R. F.C. TABLET 10MG,medicine_showdetail.php?sn=A043931100
CEDOL S.C. TABLETS,medicine_showdetail.php?sn=A043932100
FAMESTER F.C. TABLE,medicine_showdetail.php?sn=A043935100
FONZAC CAPSULES 20MG FLUOXETINE 'T.F.',medicine_showdetail.php?sn=A043937100
TANATRIL TABLETS 5MG,medicine_showdetail.php?sn=A043950100
TERAZOSIN TABLETS 2MG U-CHU,medicine_showdetail.php?sn=A043961100
K-MYCIN F.C. TABLET,medicine_showdetail.php?sn=A043966100
NITRENDIPINE TABLETS 10MG N.W.,medicine_showdetail.php?sn=A043973100
ETODON CAPSULES 200MG 'S.L.',medicine_showdetail.php?sn=A043985100
JINBERCHANQ TABLETS 'T.F.',medicine_showdetail.php?sn=A043988100
SUCOUGH TABLET 20MG,medicine_showdetail.php?sn=A043990100
LINDACIN CAPSULES 150MG S.T,medicine_showdetail.php?sn=A043991100
GENDERGIN-SR TABLET 1.0MG,medicine_showdetail.php?sn=A044011100
NIMED TABLETS 100MG 'LOTUS',medicine_showdetail.php?sn=A044022100
KINZOLAM TABLETS 2MG,medicine_showdetail.php?sn=A044029100
SONLI CAP.,medicine_showdetail.php?sn=A044038100
MEITIFEN SUSTAINED RELEASE F.C. TABLETS 75MG 'EVEREST',medicine_showdetail.php?sn=A044041100
RIFAMPICIN CAPSULES 300MG,medicine_showdetail.php?sn=A044061100
TERASIN TABLETS 2MG PURZER,medicine_showdetail.php?sn=A044063100
BAYMIN TABLETS 5MG MEQUITAZINE 'T.F.',medicine_showdetail.php?sn=A044067100
SUDORXAN TABLETS 200MG,medicine_showdetail.php?sn=A044086100
MEPHENOXALONE TABLETS 200MG 'U-CHU',medicine_showdetail.php?sn=A044091100
FEDIL S.R. TABLETS 5MG STANDARD,medicine_showdetail.php?sn=A044098100
SUFLEX TABLETS 200MG 'YUNG SHIN',medicine_showdetail.php?sn=A044114100
MEQUITAZINE TABLETS 5MG 'U-CHU',medicine_showdetail.php?sn=A044115100
ALLOPURINOL TABLETS 300MG 'U-CHU',medicine_showdetail.php?sn=A044127100
MEVALOTIN TABLETS 1,medicine_showdetail.php?sn=A044139100
LISINOPRIL TABLETS 10MG U-CHU,medicine_showdetail.php?sn=A044161100
MUSOLAX F.C. TABLETS 150MG,medicine_showdetail.php?sn=A044174100
HAVINA F.C. TABLETS 'S.Y.',medicine_showdetail.php?sn=A044203100
SPASTIN TABLETS 'EVEREST',medicine_showdetail.php?sn=A044209100
GLUCOFIT F.C. TABLETS 850MG METFORMIN 'SWISS',medicine_showdetail.php?sn=A044233100
ER TABLETS TIAPROFENIC ACID 'T.F.',medicine_showdetail.php?sn=A044253100
COTENIN CAP. TAI YU,medicine_showdetail.php?sn=A044267100
FORMOROL TABLETS 'S.C.',medicine_showdetail.php?sn=A044272100
URISUE TABLETS 50MG,medicine_showdetail.php?sn=A044274100
DICLOREN E.M. CAPSULES 50MG 'WEIDAR',medicine_showdetail.php?sn=A044282100
EDIOL F.C. TABLETS 1MG 'S.Y.',medicine_showdetail.php?sn=A044295100
NITEC TABLETS 20MG T.F.,medicine_showdetail.php?sn=A044315100
NITEC TABLETS 20MG T.F.,medicine_showdetail.php?sn=A044315100
BUWECON TABLETS 0.125MG 'YUNG SHIN',medicine_showdetail.php?sn=A044317100
BUWECON TABLETS 0.125MG 'YUNG SHIN',medicine_showdetail.php?sn=A044317100
BASORLIN TABLETS 200MG 'T.F.',medicine_showdetail.php?sn=A044320100
LONIL F.C. TABLETS 135MG 'SWISS',medicine_showdetail.php?sn=A044338100
DAMPURINE TABLETS 25MG,medicine_showdetail.php?sn=A044365100
CRAVIT F.C. TABLETS,medicine_showdetail.php?sn=A044373100
YOU-JET F.C. TABLETS 50MG 'N.K.',medicine_showdetail.php?sn=A044374100
VOREN-K SUGAR COATED TABLETS 50MG 'YUNG SHIN',medicine_showdetail.php?sn=A044403100
CLATINE TABLET 10MG LORATADINE 'STANDARD',medicine_showdetail.php?sn=A044414100
THEOLIN S.R. TABLETS PEI.LI,medicine_showdetail.php?sn=A044418100
NDING TABLETS 20MG YUNG SHIN,medicine_showdetail.php?sn=A044420100
YAMTAC S.C. TABLETS 20MG,medicine_showdetail.php?sn=A044421100
DELIBS F.C. TABLETS 50MG,medicine_showdetail.php?sn=A044434100
AVERINE TABLETS 40MG,medicine_showdetail.php?sn=A044449100
ITAN F.C. TABLETS 25MG 'EVEREST',medicine_showdetail.php?sn=A044450100
MUXALON TABLETS 200MG 'TK&A',medicine_showdetail.php?sn=A044459100
SEMI-NAX F.C. TABLETS 10MG 'D.T.',medicine_showdetail.php?sn=A044463100
FELOP E.R. F.C. TABLETS 5MG SHOU CHAN,medicine_showdetail.php?sn=A044468100
ULYMIN TABLETS 30MG,medicine_showdetail.php?sn=A044469100
FEPRIL TABLETS 10MG STANDARD,medicine_showdetail.php?sn=A044477100
TAN SR F.C. TABLETS 100MG 'S.T.',medicine_showdetail.php?sn=A044478100
CLINDAMYCIN HCI CAP. 300MG Y,medicine_showdetail.php?sn=A044484100
TELIN S.R TAB. 200MG STANDARD,medicine_showdetail.php?sn=A044498100
FENOX TABLETS 500MG,medicine_showdetail.php?sn=A044507100
EUFAN F.C TAB. 10MG STANDARD,medicine_showdetail.php?sn=A044510100
NABUTON FILM COATED TABLETS 500MG 'YUNG SHIN',medicine_showdetail.php?sn=A044542100
TELOWSIN TABLETS 2MG YUNG SHIN,medicine_showdetail.php?sn=A044547100
FELO E.R. TABLETS 5MG EVEREST,medicine_showdetail.php?sn=A044575100
TORLEX TABLETS 50MG 'YUNG SHIN',medicine_showdetail.php?sn=A044577100
MINLIFE TABLETS 10MG,medicine_showdetail.php?sn=A044595100
COXINE SR TABLETS 40MG,medicine_showdetail.php?sn=A044597100
ZOLNOX F.C. TABLETS 10MG,medicine_showdetail.php?sn=A044605100
ZOLNOX F.C. TABLETS 10MG,medicine_showdetail.php?sn=A044605100
BEXOLO F.C. TABLETS 20MG S.T.,medicine_showdetail.php?sn=A044619100
DOSABIN TABLETS 2MG,medicine_showdetail.php?sn=A044621100
SETINE F.C. TABLETS 20MG 'STANDARD',medicine_showdetail.php?sn=A044622100
FELOPINE-SR TABLETS 5MG,medicine_showdetail.php?sn=A044631100
U-CHU DOXAZOSIN TABLETS 2MG,medicine_showdetail.php?sn=A044681100
CAMISAN TABLETS 250MG,medicine_showdetail.php?sn=A044682100
TERFINE TABLETS 250MG N.K,medicine_showdetail.php?sn=A044683100
,medicine_showdetail.php?sn=A044684100
,medicine_showdetail.php?sn=A044684100
ALPRALINE TABLETS 0.5MG 'S.T.',medicine_showdetail.php?sn=A044685100
THOIN S.R.M.C 250MG EVEREST,medicine_showdetail.php?sn=A044689100
CETY FILM COATED TABLETS 10MG,medicine_showdetail.php?sn=A044710100
SOONMELT FILM COATED TABLETS 3,medicine_showdetail.php?sn=A044713100
ECYCLE TABLETS 8MG Y.Y,medicine_showdetail.php?sn=A044715100
LONGCARDIO FILM COATED TABLETS 25MG GREENPHARM,medicine_showdetail.php?sn=A044731100
DEKU F.C. TABLETS 500MG,medicine_showdetail.php?sn=A044777100
DETOSIV SUSTAINED RELEASE TABL,medicine_showdetail.php?sn=A044781100
IBU TABLET 'ROOT',medicine_showdetail.php?sn=A044801100
OXAMIDE TABLETS 30MG 'S.T.',medicine_showdetail.php?sn=A044807100
ENARIL TABLETS 20MG WEIDAR,medicine_showdetail.php?sn=A044810100
ZOPIDEM F.C. TABLETS 10MG 'STANDARD',medicine_showdetail.php?sn=A044826100
TANLEEG F.C. TABLETS 500MG 'S.T.' NABUMETONE,medicine_showdetail.php?sn=A044832100
UROSIN FILM COATED TABLETS 50MG ATENOLOL,medicine_showdetail.php?sn=A044843100
Dophilin Tablets 2mg S.T.,medicine_showdetail.php?sn=A044853100
NIAN TABLETS 10MG Y.Y.,medicine_showdetail.php?sn=A044882100
LABUTON F.C. TABLETS 500MG 'WEIDAR',medicine_showdetail.php?sn=A044916100
KOMENI F.C. TABLETS 'EVEREST',medicine_showdetail.php?sn=A044917100
STAWEI TABLETS,medicine_showdetail.php?sn=A044920100
PUTAN CHEWABLE TABLETS 'Y.Y',medicine_showdetail.php?sn=A044921100
THOIN SUSTAINED-RELEASE MICROSPHERES CAP. 125MG EVEREST,medicine_showdetail.php?sn=A044924100
FORMAX RETARD SLOW RELEASE FILM-COATING TABLETS 75MG 'SHITEH',medicine_showdetail.php?sn=A044951100
GOWELL TAB WECAN,medicine_showdetail.php?sn=A044977100
VOLNA-K F.C. TABLET 25MG 'STANDARD' DICLOFENAC POTASSIUM,medicine_showdetail.php?sn=A044997100
ZOLOTIN FILM COATED TAB. 20MG,medicine_showdetail.php?sn=A044998100
DOXAN TABLETS 2MG,medicine_showdetail.php?sn=A045013100
OMEZOL CAP. 20MG STANDARD OMEPRAZOLE,medicine_showdetail.php?sn=A045016100
FENSIREN CAPSULES 40MG YUNG SHIN FENSPIRIDE,medicine_showdetail.php?sn=A045040100
BABUROL TAB. 10MG,medicine_showdetail.php?sn=A045041100
'U-CHU' APRAZO TABLETS 0.5MG ALPRAZOLAM,medicine_showdetail.php?sn=A045070100
ZOPIM F.C. TABLETS 10MG 'S.T.'ZOLPIDEM,medicine_showdetail.php?sn=A045147100
VOLNA-K F.C. TABLET 50MG 'STANDARD' DICLOFENAC POTASSIUM,medicine_showdetail.php?sn=A045150100
ZOLDOX F.C. TABLETS 10MG ' WEIDAR',medicine_showdetail.php?sn=A045155100
LUNGTEC TABLETS 10MG,medicine_showdetail.php?sn=A045178100
PHENCULIN CAPSULES 10MG 'YUNG SHIN',medicine_showdetail.php?sn=A045182100
SYNBOT TABLETS 5MG,medicine_showdetail.php?sn=A045254100
'U-CHU' ACEO CAPSULES RETARD 90MG,medicine_showdetail.php?sn=A045267100
SOONMELT FILM COATED TABLETS 625MG,medicine_showdetail.php?sn=A045276100
'U-CHU' ZODEM TABLETS 10MG,medicine_showdetail.php?sn=A045279100
MECON TABLETS 7.5MG,medicine_showdetail.php?sn=A045290100
VOREN-K SUGAR COATED TABLETS 25MG 'YUNG SHIN',medicine_showdetail.php?sn=A045305100
BISO F.C. TABLETS 5MG,medicine_showdetail.php?sn=A045348100
DEFLAM-K F.C. TABLETS 25MG 'KINGDOM' DICLOFENAC POTASSIUM,medicine_showdetail.php?sn=A045358100
MELOCAM TABLETS 'P.L.',medicine_showdetail.php?sn=A045375100
MOPIK TABLETS 7.5MG 'N.K.',medicine_showdetail.php?sn=A045385100
MELOXIN TABLETS 7.5MG,medicine_showdetail.php?sn=A045407100
ZAPINE TABLETS 100MG 'S.T.',medicine_showdetail.php?sn=A045414100
POCATHMA-MINI TAB. 25£gG 'STANDARD',medicine_showdetail.php?sn=A045416100
MELICAM TABLETS 7.5MG 'KINGDOM' MELOXICAM,medicine_showdetail.php?sn=A045441100
MECATER TABLETS 25MCG 'S.T.' PROCATEROL HYDROCHLORIDE HEMIHYDRATE,medicine_showdetail.php?sn=A045492100
STIDINE TABLETS 2MG ' KINGDOM' TIZANIDINE,medicine_showdetail.php?sn=A045541100
PAROXE F.C. TABLETS 20MG,medicine_showdetail.php?sn=A045581100
'U-CHU' LAMOGIN TABLETS 100MG,medicine_showdetail.php?sn=A045592100
EVIPROSTAT,medicine_showdetail.php?sn=B000048100
IPRADOL 0.5MG TABLETS,medicine_showdetail.php?sn=B000577100
DUSPATALIN SUGAR COATED TABLETS 100MG,medicine_showdetail.php?sn=B000700100
SPASMEX TABLETS,medicine_showdetail.php?sn=B002568100
LANITOP TABLETS,medicine_showdetail.php?sn=B002709100
CEPHADOL TABLETS,medicine_showdetail.php?sn=B002990100
TRIMOL,medicine_showdetail.php?sn=B003439100
YUTOPAR TABLETS 10MG,medicine_showdetail.php?sn=B003944100
SAROTEN RETARD 25MG,medicine_showdetail.php?sn=B004101100
FLUANXOL DRAGEES 3MG,medicine_showdetail.php?sn=B004858100
LIDAPRIM TABLETS,medicine_showdetail.php?sn=B004903100
BURINEX TABLETS 1MG,medicine_showdetail.php?sn=B005176100
SECTRAL CAPSULES 100MG,medicine_showdetail.php?sn=B005721100
PROGYLUTON S.C. TABLETS,medicine_showdetail.php?sn=B005819100
SEMI-EUGLUCON TABLETS,medicine_showdetail.php?sn=B005890100
SECTRAL 400 TABLETS,medicine_showdetail.php?sn=B006049100
ESPERAN TABLETS,medicine_showdetail.php?sn=B006150100
BEZALIP COATED TABL,medicine_showdetail.php?sn=B007125100
GLUCOPHAGE TABLETS,medicine_showdetail.php?sn=B007152100
URINORM TABLETS,medicine_showdetail.php?sn=B007252100
SCAMIN TABLETS,medicine_showdetail.php?sn=B007254100
JETEPAR CAPSULES,medicine_showdetail.php?sn=B007298100
ROHYPNOL TABLETS 1MG,medicine_showdetail.php?sn=B007523100
VERPAMIL 40MG FILM-COATED TABLETS,medicine_showdetail.php?sn=B007588100
VENALOT DEPOT DRAGEES,medicine_showdetail.php?sn=B008217100
SENNOSIDE TABLETS,medicine_showdetail.php?sn=B008780100
ZADINE TABLETS,medicine_showdetail.php?sn=B008930100
CLINT TABLETS,medicine_showdetail.php?sn=B009008100
VOLTAREN SR 100,medicine_showdetail.php?sn=B009100100
VOLTAREN SR 100,medicine_showdetail.php?sn=B009100100
VOLTAREN SR 100,medicine_showdetail.php?sn=B009100100
LUDIOMIL FILM-COATED TABLETS 25MG,medicine_showdetail.php?sn=B009254100
LUDIOMIL FILM-COATED TABLETS,medicine_showdetail.php?sn=B009257100
AVANT 5 TABLETS,medicine_showdetail.php?sn=B009346100
WINTERMIN TABLETS 100MG,medicine_showdetail.php?sn=B009379100
ERISPAN TABLETS 0.25MG,medicine_showdetail.php?sn=B009391100
ERISPAN TABLETS 0.25MG,medicine_showdetail.php?sn=B009391100
ERISPAN TABLETS 0.25MG,medicine_showdetail.php?sn=B009391100
LANOXIN DIGOXIN TABLETS 0.25MG B.P.,medicine_showdetail.php?sn=B009554100
LANOXIN DIGOXIN TABLETS 0.25MG B.P.,medicine_showdetail.php?sn=B009554100
LANOXIN DIGOXIN TABLETS 0.25MG B.P.,medicine_showdetail.php?sn=B009554100
SEPTRIN TABLETS,medicine_showdetail.php?sn=B009560100
LARBOL CAPSULES,medicine_showdetail.php?sn=B009610100
LARBOL CAPSULES,medicine_showdetail.php?sn=B009610100
LEMOBEX CAPSULES,medicine_showdetail.php?sn=B009870100
VOLTAREN,medicine_showdetail.php?sn=B009964100
VOLTAREN,medicine_showdetail.php?sn=B009964100
VOLTAREN,medicine_showdetail.php?sn=B009964100
GLYCORAN TABLETS,medicine_showdetail.php?sn=B009998100
PLOKON TABLETS,medicine_showdetail.php?sn=B010039100
PLOKON TABLETS,medicine_showdetail.php?sn=B010039100
PLOKON TABLETS,medicine_showdetail.php?sn=B010039100
SLOW-FE FOLIC TABLETS,medicine_showdetail.php?sn=B010086100
BIOFERMIN TABLETS,medicine_showdetail.php?sn=B010090100
BIOFERMIN TABLETS,medicine_showdetail.php?sn=B010090100
BENZHEXOL TABLETS B.P. 2MG,medicine_showdetail.php?sn=B010249100
BENZHEXOL TABLETS B.P. 2MG,medicine_showdetail.php?sn=B010249100
BENZHEXOL TABLETS B.P. 2MG,medicine_showdetail.php?sn=B010249100
BENZHEXOL TABLETS B.P. 5MG,medicine_showdetail.php?sn=B010250100
BENZHEXOL TABLETS B.P. 5MG,medicine_showdetail.php?sn=B010250100
LIPO-MERZ RETARD CA,medicine_showdetail.php?sn=B010330100
DITOPAX TABLETS LE,medicine_showdetail.php?sn=B010442100
MIKELAN 5MG TABLETS,medicine_showdetail.php?sn=B010591100
ACTIFED TABLETS,medicine_showdetail.php?sn=B010621100
VIARTRIL-S CAPSULES,medicine_showdetail.php?sn=B010641100
BLADDERON TABLETS,medicine_showdetail.php?sn=B010742100
PANAGESIC TABLETS,medicine_showdetail.php?sn=B011051100
ISMO 20,medicine_showdetail.php?sn=B011212100
COSTI TABLETS,medicine_showdetail.php?sn=B011225100
DEANXIT DRAGEES,medicine_showdetail.php?sn=B011315100
MACACY-A TABLETS,medicine_showdetail.php?sn=B011489100
POLARAMINE TABLETS 2MG,medicine_showdetail.php?sn=B011710100
PHYLLOCONTIN PAEDIA,medicine_showdetail.php?sn=B011975100
JOLETHIN TABLETS,medicine_showdetail.php?sn=B012164100
CLOTAN 100MG CAPSULES,medicine_showdetail.php?sn=B012409100
ANAFRANIL 25MG TABLETS,medicine_showdetail.php?sn=B012536100
ANAFRANIL 10MG TABLETS,medicine_showdetail.php?sn=B012692100
TRILISATE TABLETS,medicine_showdetail.php?sn=B012744100
TOFRANIL TABLETS 10MG,medicine_showdetail.php?sn=B012880100
PROVERA 10MG,medicine_showdetail.php?sn=B012946100
NEO-THYREOSTAT TABLETS,medicine_showdetail.php?sn=B013004100
MEPTIN TABLETS,medicine_showdetail.php?sn=B013025100
MEPTIN-MINI TABLETS,medicine_showdetail.php?sn=B013026100
CAFERGOT TABLETS R,medicine_showdetail.php?sn=B013092100
AKAMON TABLETS 3MG,medicine_showdetail.php?sn=B013409100
UTROGESTAN CAPSULES,medicine_showdetail.php?sn=B013497100
DUPHASTON TABLETS 5MG,medicine_showdetail.php?sn=B013698100
ISOPTIN 40MG FILM COATED TABLETS,medicine_showdetail.php?sn=B013807100
AKINETON TABLETS,medicine_showdetail.php?sn=B013849100
CABAGIN-U TABLETS,medicine_showdetail.php?sn=B013887100
TRUXAL TABLETS 50MG,medicine_showdetail.php?sn=B013912100
CLOPIXOL TABLETS 10MG,medicine_showdetail.php?sn=B013994100
USTIMON TABLETS,medicine_showdetail.php?sn=B014107100
URSO 100,medicine_showdetail.php?sn=B014170100
BUTYLPAN TABLETS,medicine_showdetail.php?sn=B014259100
SCANOL TABLETS 500MG,medicine_showdetail.php?sn=B014294100
WINTERMIN TABLETS 50MG,medicine_showdetail.php?sn=B014529100
EUGLUCON TABLETS,medicine_showdetail.php?sn=B014586100
WINTERMIN TABLETS 12.5MG,medicine_showdetail.php?sn=B014800100
CORDARONE TABLETS,medicine_showdetail.php?sn=B014822100
SPASMONAL CAPSULES,medicine_showdetail.php?sn=B014823100
PROVERA 5MG MEDROXYPROGESTERONE ACETATE TABLETS,medicine_showdetail.php?sn=B014860100
DEPAKINE GASTRO-RESISTANT TABLET 200MG,medicine_showdetail.php?sn=B014899100
TICLID COATED TABLETS,medicine_showdetail.php?sn=B015133100
ORGAMETRIL TABLETS,medicine_showdetail.php?sn=B015459100
ESPIRAN CAPSULES,medicine_showdetail.php?sn=B015492100
METHYCOOL 500,medicine_showdetail.php?sn=B015495100
HITOCOBAMIN M CAPSULES,medicine_showdetail.php?sn=B015551100
CARDIOBREN CAPSULES,medicine_showdetail.php?sn=B015670100
LORAZEPAM TABLETS 1.0 MG 'TOWA',medicine_showdetail.php?sn=B015809100
TEGRETOL CR 200MG FILM-COATED TABLETS DIVISIBLE,medicine_showdetail.php?sn=B016028100
ALUSA TABLETS,medicine_showdetail.php?sn=B016066100
ALONIX S,medicine_showdetail.php?sn=B016226100
TRANXENE,medicine_showdetail.php?sn=B016269100
TRANXENE,medicine_showdetail.php?sn=B016270100
TARGET TABLETS,medicine_showdetail.php?sn=B016276100
CERENIN FILM-COATED TABLETS,medicine_showdetail.php?sn=B016451100
BETAMAC T200 FILM COATED TABLETS,medicine_showdetail.php?sn=B016466100
